playerId,awardCount,homeRuns,totalGames,oba,era,slg,obp,allStar,yearsPlayed,finalGame,completeGames,zr,class
fingero01,11,2,945,0.25405882352941184,4.314705882352941,0.2222,0.18579245,5,17.0164,1985-09-17,4,0,TRUE
finlech01,2,0,524,0.2554444444444445,3.9283333333333337,0.0755,0.05661595,2,16.3452,2002-09-28,63,0,FALSE
finlest01,5,304,2583,0,0,0.4424,0.33224033,2,18.1781,2007-06-03,0,0,FALSE
fisheed02,1,0,690,0.24172222222222223,3.5772222222222223,0.1504,0.15625461,1,14.2548,1973-09-19,7,0,FALSE
fiskca01,10,376,2499,999,999,0.4567,0.34069403,10,23.7753,1993-06-22,0,0,TRUE
fitzsfr01,1,14,513,0.2705000000000001,4.156499999999999,0.2788,0.23255814,0,17.9370,1943-07-16,186,0,FALSE
flanami01,3,0,529,0.2702631578947368,4.068947368421052,0.0000,0.00000000,0,17.0740,1992-09-27,101,0,FALSE
fletcar01,0,32,1533,999,999,0.3649,0.31911629,0,13.4301,1922-09-16,0,0,FALSE
flickel01,0,48,1483,999,999,0.4452,0.38900378,0,12.1945,1910-07-04,0,0,TRUE
flintsi01,0,21,817,999,999,0.3251,0.25084134,0,14.2164,1889-07-18,0,0,FALSE
floodcu01,8,85,1759,999,999,0.3893,0.34228882,3,14.6329,1971-04-25,0,0,FALSE
floydcl01,0,233,1621,999,999,0.4820,0.35831001,1,15.7562,2009-06-17,0,0,FALSE
fonsele01,1,31,937,0,0,0.4321,0.35538320,0,12.4219,1933-09-11,0,0,FALSE
fordwh01,10,3,500,0.23125,2.6725000000000003,0.2004,0.25621492,6,16.8986,1967-05-21,156,0,TRUE
forscbo01,2,12,509,0.2680588235294118,4.0317647058823525,0.3214,0.23542101,0,15.2301,1989-09-25,67,0,FALSE
forscke01,0,0,521,0.26175,3.664375,0.1514,0.17042607,2,15.7178,1986-05-23,70,0,FALSE
fostebi99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
